Id,Company,Primary Industry,Country,Url,Current Rank,Prior Rank,Executive1,Executive2,Earnings Per Share Growth,Cost Of Goods Sold,Current Liabilities,Total Assets,Long Term Debt,Return On Equity,Revenue,Total Company Assets,Revenue Growth,Net Income,Earnings Per Share,Total Equity,Profit Margin,Debt To Equity Ratio,Inventory Turnover
230,General Mills Inc.,Food,United States,www.generalmills.com,228,249,"Mr. Kendall J. Powell, Chairman;Chief Executive Officer",Mr. Jeffrey L. Harmening,-30.39%,,"$4,890 ","$3,785 ",7607.7,18.6892,"$17,630 ","$21,964 ",-1.56%,"$1,221 ",($30.39),"$4,996 ",6.93%,1.52%,1540.9
231,Sumitomo Chemical Co. Ltd.,Chemicals,Japan,www.sumitomo-chem.co.jp,230,217,"Osamu Ishitobi, Chairman","Masakazu Tokura, President",56.34%,,"$6,557 ","$9,868 ",5019.7,10.2931,"$17,459 ","$22,114 ",-11.57%,$676 ,$56.34 ,"$6,370 ",3.88%,0.79%,3341.55
232,Thermo Fisher Scientific Inc.,Instruments,United States,www.thermofisher.com,233,261,"Mr. Jim P. Manzi, Chairman","Mr. Marc N. Casper, President;Chief Executive Officer",4.46%,,"$4,147 ","$5,741 ",11473.9,9.61354,"$16,965 ","$40,889 ",0.45%,"$1,975 ",$4.46 ,"$21,350 ",11.64%,0.54%,1991.7
233,Daikin Industries Ltd.,Machinery,Japan,www.daikin.com,232,274,"Noriyuki Inoue, Chairman;Chief Executive Officer","Masanori Togawa, President;Chief Executive Officer",14.42%,,"$4,682 ","$8,861 ",3982.57,13.3552,"$16,977 ","$18,201 ",6.72%,"$1,137 ",$14.42 ,"$8,436 ",6.70%,0.47%,2771.65
234,Fresenius Medical Care AG,Instruments,Germany,www.fmc-ag.com,234,279,"Rice Powell, Chairman;Chief Executive Officer","Michael Brosnan, Chief Financial Officer",-2.31%,,"$4,185 ","$6,984 ",7853.49,10.9013,"$16,737 ","$25,533 ",5.72%,"$1,029 ",($2.31),"$9,887 ",6.15%,0.79%,1340.75
235,Goodyear Tire & Rubber Co.,Rubber Products,United States,www.goodyear.com,236,243,"Mr. Richard J. Kramer, Chairman;President","Ms. Laura K. Thompson, Executive Vice President",-87.24%,,"$4,957 ","$6,141 ",5120,8.50416,"$16,443 ","$16,439 ",-9.35%,$307 ,($87.24),"$3,920 ",1.87%,1.31%,2464
236,Nucor Corp.,Primary Metals,United States,www.nucor.com,237,198,"Mr. John J. Ferriola, Chairman;President","Mr. James R. Darsey, Executive Vice President",-50%,,"$1,385 ","$5,754 ",4360.6,4.60161,"$16,439 ","$14,250 ",-22.11%,$357 ,($50.00),"$7,416 ",2.18%,0.59%,2145.44
237,Bristol-Myers Squibb Co.,Pharmaceuticals,United States,www.bms.com,235,277,"Mr. Lamberto Andreotti, Chief Executive Officer","Mr. Charles A. Bancroft, Executive Vice President;Chief Financial Officer",-22.50%,,"$8,017 ","$10,415 ",6550,10.5373,"$16,560 ","$31,748 ",4.29%,"$1,565 ",($22.50),"$14,266 ",9.45%,0.46%,1221
238,Shanghai Pharmaceutical Holding Co. Ltd.,Pharmaceuticals,China,www.sphchina.com,238,304,"Mingfang Lu, Chairman;Legal Representative","Jialin Zhang, Vice-Chairman",11.03%,,"$6,070 ","$8,558 ",14.3827,10.3407,"$16,246 ","$11,447 ",14.20%,$442 ,$11.03 ,"$4,608 ",2.73%,0.00%,2323.59
239,Micron Technology Inc.,Computers & Other Electronic Products,United States,www.micron.com,239,271,"Mr. Robert E. Switz, MBA, Chairman","Mr. D. Mark Durcan, Chief Executive Officer",-2.76%,,"$3,905 ","$8,596 ",6252,26.9149,"$16,192 ","$24,143 ",-1.01%,"$2,899 ",($2.76),"$12,302 ",17.90%,0.51%,2340
240,Asahi Kasei Corp.,Chemicals,Japan,www.asahi-kasei.co.jp,241,266,"Ichiro Itoh, Chairman","Hideki Kobori, President",NA,,"$6,028 ","$7,110 ",1122.86,8.47492,"$16,123 ","$18,372 ",-2.29%,$762 ,NA,"$8,655 ",4.73%,0.13%,2797.34
241,Akzo Nobel NV,Pharmaceuticals,Netherlands,www.akzonobel.com,240,257,"Mr. Ton Buchner, Chairman of the Management Board;Chief Executive","Mr. Marten Booisma, Management Board Member",76.58%,,"$5,007 ","$6,185 ",2353.78,16.9085,"$16,184 ","$17,387 ",3.94%,"$1,066 ",$76.58 ,"$7,062 ",6.59%,0.33%,1638.17
242,Isuzu Motors Ltd.,Motor Vehicles,Japan,www.isuzu.co.jp,244,283,"Susumu Hosoi, Chairman","Masanori Katayama, President",NA,,"$4,695 ","$7,723 ",1553.62,15.1981,"$16,007 ","$15,029 ",2.53%,$952 ,NA,"$6,241 ",5.95%,0.25%,2069.07
243,Colgate-Palmolive Co.,Chemicals,United States,www.colgatepalmolive.com,242,256,"Mr. Ian M. Cook, Chairman;President","Mr. Dennis J. Hickey, Chief Financial Officer",-35.59%,,"$3,534 ","$4,384 ",6269,NM,"$16,034 ","$11,958 ",-7.19%,"$1,384 ",($35.59),($299),8.63%,NM,1180
244,SK Hynix Inc.,Computers & Other Electronic Products,Korea,www.hynix.com,245,287,"Mr. Jong-Kap Kim, Ph.D., Chairman;President","Mr. Oh-Chul Kwon, Chief Executive Officer;President",2.74%,,"$4,114 ","$8,295 ",2384.29,23.9646,"$15,977 ","$25,224 ",9.77%,"$3,673 ",$2.74 ,"$18,177 ",22.99%,0.13%,1634.76
245,Johnson Matthey PLC,Chemicals,United Kingdom,www.matthey.com,246,284,"Mr. Neil A. P. Carson, Chief Executive Officer","Mr. Robert J. MacLeod, Financial Director",-21.26%,,"$1,697 ","$2,876 ",1238.76,18.3972,"$15,877 ","$6,012 ",6.50%,$493 ,($21.26),"$2,746 ",3.11%,0.45%,968.748
246,Freeport-McMoRan Inc.,Primary Metals,United States,www.fcx.com,247,195,"Mr. James R. Moffett, Chairman Emeritus","Mr. Richard C. Adkerson, Vice-Chairman;President",NM,,"$4,307 ","$7,462 ",19779,-66.1071,"$15,877 ","$46,577 ",-25.94%,"($12,089)",NM,"$7,828 ",-76.14%,2.53%,4788
247,Diageo PLC,Beverages,United Kingdom,www.diageo.com,243,276,"Mr. Ivan Menezes, Chief Executive Officer","Deirdre Mahlan, Chief Financial Officer",5.94%,,"$7,839 ","$11,366 ",11732.6,34.8967,"$16,024 ","$38,240 ",5.41%,"$3,528 ",$5.94 ,"$11,516 ",22.02%,1.02%,6778.42
248,Baker Hughes Inc.,Machinery,United States,www.bakerhughes.com,250,169,"Mr. Martin S. Craighead, Chairman;President","Ms. Kimberly A. Ross, Senior Vice President;Chief Financial Officer",-214.54%,,"$2,775 ","$9,268 ",3890,-10.5611,"$15,742 ","$24,080 ",-35.88%,"($1,967)",($214.54),"$16,298 ",-12.50%,0.24%,2917
249,Novo Nordisk AS,Pharmaceuticals,Denmark,www.novonordisk.com,249,307,"Lars Rebien Sorensen, Chief Executive Officer","Kare Schultz, President;Chief Operating Officer",34.26%,,"$5,965 ","$8,048 ",,86.5141,"$15,752 ","$13,398 ",21.53%,"$5,088 ",$34.26 ,"$6,855 ",32.30%,NA,1862.14
250,Valeo SA,Motor Vehicle Parts,France,www.valeo.com,248,291,"Jacques Aschenbroich, Chief Executive Officer","Michel Boulain, Senior Vice President",26.56%,,"$5,837 ","$5,798 ",1247.15,26.6058,"$15,841 ","$12,460 ",14.29%,$794 ,$26.56 ,"$3,782 ",5.01%,0.33%,1264.57
251,Lixil Group Corp.,Fabricated Metal Products,Japan,www.lixil-group.co.jp,251,319,"Yoichiro Ushioda, Chairman","Kinya Seto, Chief Executive Officer",NA,,"$7,164 ","$7,353 ",4165.15,-4.38632,"$15,704 ","$17,695 ",10.85%,($212),NA,"$4,359 ",-1.35%,0.96%,1759.89
252,Tokyo Gas Co. Ltd.,Petroleum & Coal Products,Japan,www.tokyo-gas.co.jp,252,231,"Tsuyoshi Okamoto, Chairman","Michiaki Hirose, President",NA,,"$2,798 ","$4,351 ",5386.21,10.4661,"$15,655 ","$18,703 ",-17.79%,$929 ,NA,"$9,140 ",5.94%,0.59%,505.152
253,Zte Corp.,Communications Equipment,China,www.zte.com.cn,254,322,"Mr. Lirong Shi, President","Mr. Yimin Yin, Executive Director",19.99%,,"$10,983 ","$15,245 ",926.356,12.8942,"$15,426 ","$19,183 ",22.97%,$493 ,$19.99 ,"$6,002 ",3.20%,0.15%,3038.2
254,China National Building Material Co. Ltd.,"Stone, Clay, Glass & Concrete Products",China,www.cnbmltd.com,253,206,"Mr. Zhiping Song, Chairman","Mr. Jianglin Cao, President",-82.73%,,"$31,479 ","$18,023 ",7491.14,2.23676,"$15,442 ","$50,779 ",-17.80%,$156 ,($82.73),"$7,990 ",1.02%,0.94%,2334.96
255,Komatsu Ltd.,Machinery,Japan,www.komatsu.co.jp,255,267,"Kunio Noji, Chairman","Tetsuji Ohashi, President;Chief Executive Officer",-10.04%,,"$5,822 ","$11,517 ",1766.38,8.98817,"$15,409 ","$21,720 ",-6.25%,"$1,141 ",($10.04),"$12,605 ",7.41%,0.14%,4482.58
256,S-Oil Corp.,Petroleum & Coal Products,Korea,www.s-oil.com,258,158,"Mr. Yang-Ho Cho, Ph.D., Chairman","Ahmed A. Subaey, Chief Executive Officer;President",NM,,"$2,738 ","$4,836 ",1706.06,12.8605,"$15,205 ","$9,175 ",-37.35%,$536 ,NM,"$4,581 ",3.53%,0.37%,1358.82
257,Thales,Instruments,France,www.thalesgroup.com,257,258,"Jean-Bernard Levy, Chief Executive Officer","Mr. Pascal Bouchiat, Senior Executive Vice President",4.61%,,"$14,381 ","$14,261 ",912.323,20.2869,"$15,317 ","$23,483 ",8.40%,$833 ,$4.61 ,"$5,060 ",5.44%,0.18%,2789.25
258,Kobe Steel Ltd.,Primary Metals,Japan,www.kobelco.co.jp,260,280,"Hiroya Kawasaki, Chairman;President","Yoshinori Onoe, Executive Vice President",NA,,"$6,759 ","$8,696 ",4623.36,-2.77608,"$15,142 ","$18,783 ",-3.40%,($179),NA,"$5,748 ",-1.18%,0.80%,3547.3
259,PPG Industries Inc.,Chemicals,United States,www.ppg.com,256,293,"Mr. Michael H. McGarry, Chairman;President","Mr. Viktoras R. Sekmakas, Executive Vice President",-31.60%,,"$4,656 ","$6,554 ",4042,27.1429,"$15,330 ","$17,076 ",-0.20%,"$1,406 ",($31.60),"$4,983 ",9.17%,0.81%,1705
260,Delphi Automotive PLC,Motor Vehicles,United Kingdom,www.delphi.com,259,260,"Mr. Rajiv L. Gupta, Chairman","Mr. Kevin P. Clark, President;Chief Executive Officer",12.95%,,"$3,927 ","$5,121 ",3956,57.7689,"$15,165 ","$11,973 ",-10.91%,"$1,450 ",$12.95 ,"$2,250 ",9.56%,1.76%,1181
261,Daihatsu Motor Co. Ltd.,Motor Vehicles,Japan,www.daihatsu.co.jp,261,297,"Masanori Mitsui, President","Hiroyuki Yokoyama, Executive Vice President",NA,,"$5,236 ","$7,014 ",517.779,12.3666,"$15,094 ","$12,615 ",-5.03%,$566 ,NA,"$5,137 ",3.75%,0.10%,795.691
262,Monsanto Co.,Chemicals,United States,www.monsanto.com,263,278,"Mr. Hugh Grant, Chairman","Mr. Brett D. Begemann, President",-7.85%,,"$5,177 ","$10,625 ",8429,29.3841,"$15,001 ","$21,920 ",-5.39%,"$2,314 ",($7.85),"$6,990 ",15.43%,1.21%,3496
263,Takeda Pharmaceutical Co. Ltd.,Pharmaceuticals,Japan,www.takeda.co.jp,262,290,"Yasuchika Hasegawa, Chairman","Christophe Weber, President;Chief Executive Officer",NM,,"$6,995 ","$11,412 ",4483.81,3.75125,"$15,013 ","$31,766 ",1.66%,$665 ,NM,"$16,187 ",4.44%,0.28%,2110.07
264,MAN SE,Motor Vehicles,Germany,www.man.eu,265,244,"Dr. Georg Pachta -Reyhofen, Chief Executive Officer","Ulf Berkenhagen, Chief Procurement Officer",-45.09%,,"$8,129 ","$7,523 ",1345.18,2.59067,"$14,924 ","$19,725 ",-4.09%,$152 ,($45.09),"$5,964 ",1.02%,0.23%,3330.81
265,Jeronimo Martins SGPS SA,Food,Portugal,www.jeronimomartins.pt,264,313,"Pedro Soares dos Santos, Chairman;Chief Executive",,10.48%,,"$3,292 ","$1,480 ",582.098,23.8815,"$14,952 ","$5,808 ",8.26%,$363 ,$10.48 ,"$1,461 ",2.43%,0.40%,695.286
266,Alfa SAB de CV,Miscellaneous,Mexico,www.alfa.com.mx,266,289,"Armando Garza Sada, Chairman","Alvaro Fernandez Garza, Chief Executive Officer",NM,,"$3,624 ","$5,602 ",5850.13,6.8222,"$14,868 ","$15,352 ",12.68%,$217 ,NM,"$3,579 ",1.46%,1.63%,1964.49
267,Agrium Inc.,Chemicals,Canada,www.agrium.com,267,272,"Mr. Victor J. Zaleschuk, Chairman","Mr. Charles (Chuck) V. Magro, President;Chief Executive Officer",40.44%,,"$4,929 ","$6,718 ",4513,14.7904,"$14,795 ","$16,377 ",-7.77%,$988 ,$40.44 ,"$6,003 ",6.68%,0.75%,3314
268,Evonik Industries AG,Petroleum & Coal Products,Germany,www.evonik,269,268,"Dr. Alfred Tacke, Chairman",,74.59%,,"$3,350 ","$7,281 ",1541.23,15.4193,"$14,711 ","$18,522 ",4.57%,"$1,079 ",$74.59 ,"$8,161 ",7.34%,0.19%,1920.28
269,HeidelbergCement AG,"Stone, Clay, Glass & Concrete Products",Germany,www.heidelbergcement.com,270,282,"Dr. Bernd Scheifele, Chairman","Dr. Dominik von Achten, Board Member",NA,NA,"$5,301 ","$5,126 ",5266.88,6.08432,"$14,700 ","$30,905 ",6.76%,$871 ,NA,"$16,246 ",5.93%,0.32%,1572.93
270,National Oilwell Varco Inc.,Machinery,United States,www.natoil.com,268,194,"Mr. Clay C. Williams, Chairman;President","Mr. Craig L. Weinstock, Executive Vice President;Secretary",-134.19%,,"$4,249 ","$11,801 ",3928,-3.71641,"$14,757 ","$26,725 ",-31.17%,($769),($134.19),"$16,383 ",-5.21%,0.24%,4678
271,AB Electrolux,Electrical Equipment & Appliances,Sweden,www.electrolux.com,271,310,"Mr. Keith R. McLoughlin, President;Chief Executive Officer","Henrik Bergstroem, Executive Vice President",-30.33%,,"$5,805 ","$5,786 ",987.255,9.52903,"$14,650 ","$9,901 ",10.14%,$185 ,($30.33),"$1,776 ",1.27%,0.56%,1681.88
272,Western Digital Corp.,Computers & Other Electronic Products,United States,www.westerndigital.com,273,300,"Mr. Thomas E. Pardun, Chairman","Mr. Michael D. Cordano, President;Chief Operating Officer",-7.49%,,"$3,242 ","$8,517 ",2156,16.5686,"$14,572 ","$15,181 ",-3.69%,"$1,465 ",($7.49),"$9,219 ",10.05%,0.23%,1368
273,Hino Motors Ltd.,Motor Vehicles,Japan,www.hino.co.jp,274,317,"Masakazu Ichikawa, Chairman","Yasuhiko Ichihashi, President",-12.60%,,"$4,297 ","$4,792 ",374.947,15.5475,"$14,500 ","$9,302 ",3.57%,$541 ,($12.60),"$3,568 ",3.73%,0.11%,1594.36
274,Caltex Australia Ltd.,Petroleum & Coal Products,Australia,www.caltex.com.au,272,219,"Ms. Elizabeth Bryan, Chairwoman","Mr. Julian Segal, Managing Director;Chief Executive Officer",2510.81%,,$890 ,"$1,466 ",508.385,20.6896,"$14,644 ","$3,732 ",-17.35%,$381 ,"$2,510.81 ","$2,029 ",2.60%,0.25%,709.217
275,Merro Pharmaceutical Co. Ltd.,Pharmaceuticals,China,www.merro.com.cn,275,NA,Li Wenqiang,"Lu Ao, Vice President;Financial Controller",307.34%,,"$7,469 ","$7,306 ",602.997,206.55,"$14,427 ","$11,673 ",25121.10%,$306 ,$307.34 ,"$3,230 ",2.12%,0.19%,2147.02
276,San Miguel Corp.,Food,Philippines,www.sanmiguel.com.ph,276,269,"Eduardo M. Cojuangco, Jr., Chairman;Chief Executive Officer","Ramon S. Ang, Vice-Chairman;President",-29.53%,,"$6,824 ","$9,020 ",10534.3,5.1767,"$14,384 ","$26,595 ",-13.87%,$265 ,($29.53),"$5,082 ",1.85%,2.07%,1369.21
277,MOL Hungarian Oil & Gas PLC,Petroleum & Coal Products,Hungary,www.mol.hu,278,233,"Zsolt Hernadi, Chairman;Chief Executive Officer","Gyorgy Mosonyi, Chief Executive Officer",NM,NA,"$3,908 ","$3,687 ",1595.01,-14.6624,"$14,173 ","$13,570 ",-15.70%,($886),NM,"$5,032 ",-6.25%,0.32%,1206.33
278,Asustek Computer Inc.,Computers & Other Electronic Products,Taiwan Province of China,www.asus.com.tw,277,302,"Jonny Shih, MBA, Chairman;Chief Branding Officer","Jonathan Tsang, MBA, Vice-Chairman;Deputy Chief Branding Officer",-12.43%,,"$4,648 ","$7,861 ",56.0277,10.4481,"$14,374 ","$10,152 ",-1.06%,$520 ,($12.43),"$5,092 ",3.62%,0.01%,3169.34
279,Finmeccanica SpA,Aerospace & Defense,Italy,www.finmeccanica.com,279,237,"Alessandro Pansa, Chief Operating Officer;General Manager","Luciano Acciari, Secretary",NM,NA,"$14,784 ","$14,667 ",5018,13.8707,"$14,154 ","$28,576 ",-11.38%,$530 ,NM,"$4,661 ",3.75%,1.08%,4723.91
280,Huayu Automotive Systems Co. Ltd.,Motor Vehicle Parts,China,,281,362,"Zhang Haitao, General Manager","Mao Qiwei, Secretary",NA,,"$5,867 ","$7,195 ",512.17,20.2525,"$14,030 ","$12,102 ",23.18%,$736 ,NA,"$4,198 ",5.25%,0.12%,838.357
281,Olam International Ltd.*,Food,Singapore,www.olamgroup.com,280,NA,"Lynn Tiew Leng Wan, Secretary","Sunny George Verghese, Managing Director;Chief Executive Officer",NA,,NA,NA,NA,16.4819,"$14,060 ","$11,536 ",-4.95%,$430 ,NA,"$2,971 ",3.06%,NA,3315.01
282,Lafarge SA*,"Stone, Clay, Glass & Concrete Products",France,www.lafarge.com,283,285,"Bruno Lafont, Chief Executive Officer","Jean-Carlos Angulo, Executive Vice President",-76.44%,,"$5,899 ","$6,394 ",10207,0.98248,"$13,988 ","$37,908 ",-15.50%,$155 ,($76.44),"$16,831 ",1.11%,0.61%,1607.68
283,Qingdao Haier Co. Ltd.,Electrical Equipment & Appliances,China,www.haier.net/cn/,284,311,"Liang Haishan, Vice-Chairman;General Manager","Gong Wei, Chief Financial Officer;Deputy General Manager",-59.44%,,"$6,125 ","$8,448 ",216.332,19.6921,"$13,819 ","$11,696 ",1.10%,$662 ,($59.44),"$3,494 ",4.79%,0.06%,1317.91
284,Merck KGaA,Chemicals,Germany,www.merck.de,282,333,"Dr. Karl-Ludwig Kley, Chairman","Kai Beckmann, Chief Administrative Officer",-3.76%,,"$10,220 ","$8,005 ",,9.49445,"$13,990 ","$41,397 ",11.69%,"$1,214 ",($3.76),"$13,928 ",8.68%,NA,2853.51
285,Surgutneftegas OAO,Petroleum & Coal Products,Russian Federation,www.surgutneftegas.ru,288,329,"Vladimir L. Bogdanov, General Director",,-14.49%,NA,"$2,994 ","$11,121 ",,26.9753,"$13,577 ","$54,868 ",16.23%,"$10,312 ",($14.49),"$48,512 ",75.96%,NA,1027.06
286,Svenska Cellulosa SCA,Paper,Sweden,www.sca.com,286,335,"Mr. Jan Johansson, President;Chief Executive Officer","Mr. Lennart Persson, Executive Vice President;Chief Financial Officer",6.06%,,"$4,768 ","$4,878 ",2547.31,10.3546,"$13,678 ","$18,074 ",10.82%,$830 ,$6.06 ,"$8,350 ",6.07%,0.31%,1739.05
287,Ecolab Inc.,Chemicals,United States,www.ecolab.com,289,316,"Mr. Douglas M. Baker, Jr., Chairman","Mr. Thomas W. Handley, President;Chief Operating Officer",-15.52%,,"$4,764 ","$4,447 ",4260.2,13.6976,"$13,545 ","$18,641 ",-5.15%,"$1,002 ",($15.52),"$6,909 ",7.40%,0.62%,1388.2
288,Hyundai Steel Co.,Primary Metals,Korea,www.hyundai-steel.com,285,295,"Mong-Koo Chung, Chairman","Seung-Ha Park, Vice-Chairman;Chief Executive Officer",-9.77%,,"$5,658 ","$5,666 ",7640.2,5.38481,"$13,711 ","$27,144 ",-3.76%,$623 ,($9.77),"$12,954 ",4.55%,0.59%,2793.96
289,Nokia Corp.,Communications Equipment,Finland,www.nokia.com,287,288,"Rajeev Suri, President;Chief Executive Officer","Timo Ihamuotila, Chief Financial Officer;Executive Vice President",-25.88%,,"$6,961 ","$17,235 ",2203.47,28.6378,"$13,614 ","$22,792 ",-1.83%,"$2,685 ",($25.88),"$11,440 ",19.73%,0.19%,1104.46
290,Textron Inc.,Aerospace & Defense,United States,www.textron.com,292,321,"Mr. Scott C. Donnelly, Chairman;President","Mr. Frank T. Connor, Executive Vice President;Chief Financial Officer",17.37%,,"$3,792 ","$6,478 ",3348,16.3155,"$13,423 ","$14,708 ",-3.28%,$697 ,$17.37 ,"$4,964 ",5.19%,0.67%,4144
291,Esso SA,Petroleum & Coal Products,France,www.esso.fr,290,222,"Francis Duseux, Chairman;Chief Executive Officer","Antoine du Guerny, Chief Financial Officer;Chief Administrative Off",NM,,$908 ,"$1,499 ",137.567,20.0806,"$13,533 ","$3,074 ",-20.95%,$108 ,NM,$791 ,0.80%,0.17%,703.195
292,Kellogg Co.,Food,United States,www.kelloggcompany.com,291,308,"Mr. James M. Jenness, Chairman","Mr. Gary H. Pilnick, Vice-Chairman;Corporate Development Officer",-1.71%,,"$5,739 ","$3,236 ",5289,22.0151,"$13,525 ","$15,265 ",-7.24%,$614 ,($1.71),"$2,128 ",4.54%,2.49%,1250
293,Syngenta AG,Chemicals,Switzerland,www.syngenta.com,294,299,"Mr. Michael Mack, Chief Executive Officer",Caroline Luscombe,-17.50%,,"$5,661 ","$11,198 ",3501,15.0636,"$13,411 ","$18,977 ",-11.39%,"$1,339 ",($17.50),"$8,401 ",9.98%,0.42%,4345
294,Yamaha Motor Co. Ltd.,Motor Vehicles,Japan,www.yamaha-motor.co.jp,293,353,"Hiroyuki Yanagi, President","Takaaki Kimura, Executive Vice President",-12.32%,,"$4,490 ","$6,657 ",1248.51,13.0565,"$13,418 ","$10,842 ",6.19%,$498 ,($12.32),"$4,076 ",3.72%,0.31%,2581.57
295,Illinois Tool Works Inc.,Fabricated Metal Products,United States,www.itw.com,295,312,"Mr. E. Scott Santi, Chairman","Mr. Christopher A. O'Herlihy, Vice-Chairman",-29.53%,,"$2,368 ","$6,720 ",6896,27.8487,"$13,405 ","$15,729 ",-7.45%,"$1,899 ",($29.53),"$5,224 ",14.17%,1.32%,1086
296,Tongling Nonferrous Metal Group Co. Ltd.,Primary Metals,China,www.tlys.cn,296,314,"Wu Heping, Secretary","Wang Libao, Supervisor",-136.84%,,"$3,492 ","$3,436 ",952.764,-4.49438,"$13,379 ","$6,800 ",-2.16%,($102),($136.84),"$2,137 ",-0.77%,0.45%,1167.43
297,HollyFrontier Corp.,Petroleum & Coal Products,United States,www.hollyfrontier.com,298,223,"Mr. Michael C. Jennings, Chairman","Mr. Douglas S. Aron, Executive Vice President;Chief Financial Officer",174.65%,,$860 ,"$1,448 ",1040.04,13.3989,"$13,237 ","$8,388 ",-33.02%,$740 ,$174.65 ,"$5,253 ",5.59%,0.20%,841.869
298,Kubota Corp.,Machinery,Japan,www.kubota.co.jp,299,338,"Masatoshi Kimata, President","Toshihiro Kubo, Executive Vice President",NA,,NA,NA,NA,14.9776,"$13,182 ","$20,575 ",5.19%,"$1,163 ",NA,"$9,146 ",8.82%,NA,2808.06
299,Ingersoll-Rand PLC,Machinery,Ireland,www.ingersollrand.com,297,349,"Mr. Michael W. Lamach, Chairman;President","Ms. Susan K. Carter, Senior Vice President;Chief Financial Officer",-27.06%,,"$3,648 ","$4,609 ",3734.8,11.1,"$13,300 ","$16,738 ",3.17%,$664 ,($27.06),"$5,816 ",5.00%,0.64%,1410.7
300,Reckitt Benckiser Group PLC,Chemicals,United Kingdom,www.rb.com,300,324,"Rakesh Kapoor, Chief Executive Officer","Adrian Hennah, Chief Financial Officer",-45.39%,,"$7,467 ","$4,270 ",994.385,25.5123,"$13,150 ","$22,626 ",0.43%,"$2,583 ",($45.39),"$10,231 ",19.64%,0.10%,1009.2
301,PBF Energy Inc.,Petroleum & Coal Products,United States,www.pbfenergy.com,302,221,"Mr. Thomas J. Nimbley, Chairman;Chief Executive Officer","Mr. Matthew C. Lucey, President",NM,,"$1,495 ","$3,022 ",1840.35,12.0177,"$13,123 ","$6,105 ",-33.81%,$146 ,NM,"$1,647 ",1.12%,1.12%,1174.27
302,Cemex SAB de CV,"Stone, Clay, Glass & Concrete Products",Mexico,www.cemex.com,304,315,"Fernando A. Gonzalez Olivieri, Chief Executive Officer","Juan Romero Torres, Division Officer",NM,,"$4,177 ","$4,240 ",13189,0.916074,"$12,994 ","$31,214 ",7.48%,$69 ,NM,"$8,259 ",0.53%,1.60%,1019.78
303,Devon Energy Corp.,Petroleum & Coal Products,United States,www.devonenergy.com,301,226,"Mr. J. Larry Nichols, Executive Chairman","Mr. John Richels, Vice-Chairman",-1009.21%,,"$3,295 ","$4,026 ",12137,-67.1062,"$13,145 ","$29,532 ",-32.82%,"($14,454)","($1,009.21)","$7,049 ",-109.96%,1.72%,NA
304,Kawasaki Heavy Industries Ltd.,"Railcars, Ships, & Other Trans. Equip.",Japan,www.khi.co.jp,305,360,"Shigeru Murayama, Chairman","Yoshinori Kanehana, President",NA,,"$6,377 ","$8,455 ",2332.7,10.6582,"$12,801 ","$13,461 ",3.70%,$382 ,NA,"$3,583 ",2.99%,0.65%,4095.07
305,Texas Instruments Inc.,Computers & Other Electronic Products,United States,www.ti.com,303,344,"Mr. Richard K. Templeton, Chairman;President","Mr. Kevin P. March, Senior Vice President;Chief Financial Officer",9.73%,,"$2,555 ","$7,074 ",3120,28.7392,"$13,000 ","$16,230 ",-0.34%,"$2,986 ",$9.73 ,"$9,946 ",22.97%,0.31%,1691
306,IHI Corp.,Machinery,Japan,www.ihi.co.jp,306,371,"Tamotsu Saito, Chairman","Jiro Mitsuoka, President",-83.16%,,"$7,333 ","$9,141 ",2160.27,0.441218,"$12,787 ","$14,247 ",5.74%,$12 ,($83.16),"$2,650 ",0.10%,0.82%,3408.46
307,Chesapeake Energy Corp.,Petroleum & Coal Products,United States,www.chk.com,307,200,"Mr. Robert Douglas Lawler, President;Chief Executive Officer","Mr. Domenic J. (Nick) Dell'Osso, Jr., Executive Vice President;Chief Financial Officer",-1299.47%,,"$3,685 ","$2,480 ",10383,-86.8781,"$12,764 ","$17,357 ",-39.08%,"($14,685)","($1,299.47)","$2,138 ",-115.05%,4.86%,NA
308,Daewoo Shipbuilding & Marine Engineering,"Railcars, Ships, & Other Trans. Equip.",Korea,www.dsme.co.kr,308,294,"Sang-Tae Nam, President;Chief Executive Officer","Yoo-Hoon Kim, Executive Vice President",-2916.36%,,"$13,350 ","$9,285 ",1641.31,-64.2428,"$12,755 ","$16,196 ",-10.60%,"($2,715)","($2,916.36)",$634 ,-21.29%,2.59%,1711.79
309,Yara International ASA,Chemicals,Norway,www.yara.com,311,350,"Mr. Bernt Reitan, Chairman","Mr. Jorgen Ole Haslestad, President;Chief Executive Officer",6.49%,,"$2,543 ","$4,672 ",1061.37,12.676,"$12,696 ","$13,487 ",17.36%,$917 ,$6.49 ,"$8,384 ",7.22%,0.13%,2263.43
310,Occidental Petroleum Corp.,Petroleum & Coal Products,United States,www.oxy.com,310,228,"Mr. Eugene L. (Gene) Batchelder, Chairman","Ms. Vicki A. Hollub, President;Chief Executive Officer",-1394.94%,,"$6,842 ","$9,402 ",6883,-22.3948,"$12,699 ","$43,437 ",-42.14%,"($7,829)","($1,394.94)","$24,350 ",-61.65%,0.28%,986
